,actor,ciudad,nombres,nº formaciones
0,daniel albaladejo,['Murcia'],,9
1,daniel albaladejo,[],,9
2,daniel albaladejo,[],Vicente Fuentes,9
3,daniel albaladejo,[],Will Keen,9
4,daniel albaladejo,[],Francisco Torres,9
4,daniel albaladejo,[],Teatro Contemporáneo,9
5,daniel albaladejo,[],Norman Taylor,9
5,daniel albaladejo,[],Expresión Dramática,9
6,daniel albaladejo,[],Antón Valén,9
7,enrique asenjo,[],Dramaturgia Teatral,13
7,enrique asenjo,[],Sanchís Sinisterra,13
8,enrique asenjo,[],Mariano Barroso,13
9,enrique asenjo,[],Raquel Pérez,13
10,enrique asenjo,[],Dramaturgia Teatral,13
10,enrique asenjo,[],Mauricio Kartún,13
11,enrique asenjo,[],Dramaturgia Teatral,13
11,enrique asenjo,[],Eduardo Recabarren,13
12,enrique asenjo,[],Dramaturgia Teatral,13
12,enrique asenjo,[],Bernardo Kappa,13
13,enrique asenjo,[],Adriano Urissevich,13
14,enrique asenjo,['Rota'],Cristina Rota,13
15,enrique asenjo,[],,13
16,jacobo camarena,[],Javier Cifrián,15
17,jacobo camarena,[],,15
18,jacobo camarena,[],,15
19,jacobo camarena,[],Salvador Calvo,15
20,jacobo camarena,[],Carlos Sedes,15
21,jacobo camarena,[],Tonucha Vidal,15
22,jacobo camarena,[],Montxo Armendáriz,15
23,jacobo camarena,[],Gracia Querejeta,15
24,jacobo camarena,[],Déborah Borqué,15
25,jacobo camarena,[],Inma Torrente,15
26,jacobo camarena,[],Jesús Font,15
27,jacobo camarena,[],Marga Rodríguez,15
28,jacobo camarena,[],Andrés Cuenca,15
29,jacobo camarena,[],Antonio Recio,15
30,jacobo camarena,[],Paula Cámara,15
31,pedro carvalho,[],Casting Director,8
31,pedro carvalho,[],Luci Lenox,8
32,pedro carvalho,[],Casting Director,8
32,pedro carvalho,[],Manuel Puro,8
33,pedro carvalho,['Madrid'],Andrea Mizes,8
33,pedro carvalho,['Madrid'],Estudio Corazza,8
34,pedro carvalho,[],,8
35,pedro carvalho,[],,8
36,jason day,[],Buenos Aires,6
37,jason day,[],Aquila Morong,6
37,jason day,[],Los Ángeles,6
38,jason day,[],Deb Aquila,6
38,jason day,[],Ron Burrus,6
39,jason day,[],Julie Adams,6
40,prince ezeanyim,[],Escuela Superior,20
40,prince ezeanyim,[],Arte Dramático,20
41,prince ezeanyim,[],Estudio Corazza,20
42,prince ezeanyim,[],Andoni Larrabeiti,20
43,prince ezeanyim,[],Fernando Becerra,20
43,prince ezeanyim,[],Ernesto Arias,20
44,prince ezeanyim,[],Darío Valtancoli,20
45,prince ezeanyim,[],La Joven,20
45,prince ezeanyim,[],Andoni Larrabeiti,20
46,prince ezeanyim,[],La Joven,20
46,prince ezeanyim,[],Marco Magoa,20
46,prince ezeanyim,[],Andoni Larrabeiti,20
47,prince ezeanyim,[],La Joven,20
47,prince ezeanyim,[],Armando Buika,20
47,prince ezeanyim,[],Andoni Larrabeiti,20
47,prince ezeanyim,[],Claudia Coelho,20
48,prince ezeanyim,[],Andoni Larrabeiti,20
49,prince ezeanyim,[],Pablo Ibarluzea,20
50,prince ezeanyim,[],,20
51,prince ezeanyim,[],,20
52,carlos gorbe,[],Arte Dramático,10
53,carlos gorbe,[],Seminario Meisner,10
53,carlos gorbe,[],Yolanda Vega,10
54,carlos gorbe,[],Mar Navarro,10
55,carlos gorbe,[],,10
56,carlos gorbe,[],Estudio Dramático,10
56,carlos gorbe,[],Pablo Corral,10
57,carlos gorbe,[],Eva Zapico,10
58,carlos gorbe,['Valencia'],Creatividad Musical,10
58,carlos gorbe,['Valencia'],Creatividad Interpretativa,10
59,jorge kent,[],La Palabra,20
59,jorge kent,[],Ernesto Arias,20
59,jorge kent,[],Vicente Fuentes,20
60,jorge kent,[],La Transversalidad,20
60,jorge kent,[],Santiago Sánchez,20
61,jorge kent,[],Creación Sonora,20
61,jorge kent,[],Nacho Bilbao,20
62,jorge kent,[],Dramaturgia Actoral,20
62,jorge kent,[],Carles Alfaro,20
63,jorge kent,[],Creación Escénica,20
63,jorge kent,[],Alfredo Sanzol,20
64,jorge kent,[],Ernesto Caballero,20
65,jorge kent,[],Isabel Úbeda,20
66,jorge kent,[],Antonio Malonda,20
67,jorge kent,[],Pedro Víctor,20
68,jorge kent,[],Will Keen,20
69,jorge kent,[],Derek Chapman,20
70,jorge kent,[],,20
71,jorge kent,[],John Breen,20
72,jorge kent,[],,20
73,marina bellati,[],Estudio Nora,20
74,marina bellati,[],Matías Feldman,20
74,marina bellati,[],Santiago Gobernori,20
