,actor,titulo,tipo,año,episodios
0,DANIEL ALBALADEJO,Alumbramiento,Corto,2022,no hay info
1,DANIEL ALBALADEJO,La noche más larga,Miniserie de TV,2022,6 episodios
2,DANIEL ALBALADEJO,Cinco estrellas,Corto,2021,no hay info
3,DANIEL ALBALADEJO,El Cid,Serie de TV,2020–2021,10 episodios
4,DANIEL ALBALADEJO,Oculto,Corto,2021,no hay info
5,DANIEL ALBALADEJO,Cuéntame cómo pasó,Serie de TV,2021,5 episodios
6,DANIEL ALBALADEJO,Una vida asegurada,Corto,2019,no hay info
7,DANIEL ALBALADEJO,Hospital Valle Norte,Serie de TV,2019,1 episodio
8,DANIEL ALBALADEJO,Niña de trapo,Corto,2018,no hay info
9,DANIEL ALBALADEJO,El Barbero,Corto,2018,no hay info
10,DANIEL ALBALADEJO,El accidente,Serie de TV,2017–2018,10 episodios
11,DANIEL ALBALADEJO,Solo Dios perdona los pecados,Corto,2018,no hay info
12,DANIEL ALBALADEJO,Regreso al horizonte,no hay info,2017,no hay info
13,DANIEL ALBALADEJO,Fe de etarras,no hay info,2017,no hay info
14,DANIEL ALBALADEJO,Valores,Corto,2017,no hay info
15,DANIEL ALBALADEJO,Sé quién eres,Serie de TV,2017,1 episodio
16,DANIEL ALBALADEJO,Chiringuito de Pepe,Serie de TV,2016,1 episodio
17,DANIEL ALBALADEJO,Nini,Corto,2016,no hay info
18,DANIEL ALBALADEJO,Amar es para siempre,Serie de TV,2015,47 episodios
19,DANIEL ALBALADEJO,Tea & Sangria,no hay info,2014,no hay info
20,DANIEL ALBALADEJO,Isabel,Serie de TV,2012–2013,8 episodios
21,DANIEL ALBALADEJO,Jacobo,Corto,2012,no hay info
22,DANIEL ALBALADEJO,Carmina,Miniserie de TV,2012,1 episodio
23,DANIEL ALBALADEJO,Hoy quiero confesar,Miniserie de TV,2011,2 episodios
24,DANIEL ALBALADEJO,Vida loca,Serie de TV,2011,1 episodio
25,DANIEL ALBALADEJO,Aída,Serie de TV,2011,1 episodio
26,DANIEL ALBALADEJO,Inocentes,Miniserie de TV,2010,1 episodio
27,DANIEL ALBALADEJO,Adiós muñeca,Corto,2009,no hay info
28,DANIEL ALBALADEJO,Fibrilando,Serie de TV,2009,6 episodios
29,DANIEL ALBALADEJO,Camera café,Serie de TV,2005–2009,602 episodios
30,DANIEL ALBALADEJO,Acusados,Serie de TV,2009,13 episodios
31,DANIEL ALBALADEJO,Larga espera,Corto,2009,no hay info
32,DANIEL ALBALADEJO,El asombroso mundo de Borjamari y Pocholo,no hay info,2004,no hay info
33,DANIEL ALBALADEJO,Hospital Central,Serie de TV,2004,1 episodio
34,DANIEL ALBALADEJO,La sopa boba,Serie de TV,2004,1 episodio
35,DANIEL ALBALADEJO,Aquí no hay quien viva,Serie de TV,2004,1 episodio
36,DANIEL ALBALADEJO,Navidad en el Nilo,no hay info,2002,no hay info
37,ENRIQUE ASENJO,Reyes contra Santa,no hay info,2022,no hay info
38,ENRIQUE ASENJO,"Pocos, buenos y seguros",Corto,2022,no hay info
39,ENRIQUE ASENJO,Cardo,Serie de TV,2021,1 episodio
40,ENRIQUE ASENJO,Yrreal,Serie de TV,2021,1 episodio
41,ENRIQUE ASENJO,Competencia oficial,no hay info,2021,no hay info
42,ENRIQUE ASENJO,HIT,Serie de TV,2020,8 episodios
43,ENRIQUE ASENJO,La casa de papel,Serie de TV,2020,1 episodio
44,ENRIQUE ASENJO,Justo antes de Cristo,Serie de TV,2020,1 episodio
45,ENRIQUE ASENJO,El vecino,Serie de TV,2019,1 episodio
46,ENRIQUE ASENJO,La trinchera infinita,no hay info,2019,no hay info
47,ENRIQUE ASENJO,Señoras del (h)AMPA,Serie de TV,2019,1 episodio
48,ENRIQUE ASENJO,Mientras dure la guerra,no hay info,2019,no hay info
49,ENRIQUE ASENJO,14 de abril. La República,Serie de TV,2011–2019,14 episodios
50,ENRIQUE ASENJO,Velvet Colección,Serie de TV,2018,5 episodios
51,ENRIQUE ASENJO,Tiempos de guerra,Serie de TV,2017,2 episodios
52,ENRIQUE ASENJO,Ella es tu padre,Serie de TV,2017,1 episodio
53,ENRIQUE ASENJO,El Ministerio del Tiempo,Serie de TV,2017,1 episodio
54,ENRIQUE ASENJO,"Perdóname, Señor",Serie de TV,2017,5 episodios
55,ENRIQUE ASENJO,Lo que escondían sus ojos,Miniserie de TV,2016,1 episodio
56,ENRIQUE ASENJO,Que Dios nos perdone,no hay info,2016,no hay info
57,ENRIQUE ASENJO,Acacias 38,Serie de TV,2015–2016,11 episodios
58,ENRIQUE ASENJO,Centro médico,Serie de TV,2016,1 episodio
59,ENRIQUE ASENJO,Vacío,Corto,2015,no hay info
60,ENRIQUE ASENJO,Historias de Lavapiés,no hay info,2014,no hay info
61,ENRIQUE ASENJO,El tiempo entre costuras,Serie de TV,2013,5 episodios
62,ENRIQUE ASENJO,Niños robados,Miniserie de TV,2013,2 episodios
63,ENRIQUE ASENJO,Formen fila,Corto,2013,no hay info
64,ENRIQUE ASENJO,Frágiles,Serie de TV,2012,3 episodios
65,ENRIQUE ASENJO,El Silencio de Afrodita,Corto,2012,no hay info
66,ENRIQUE ASENJO,Arrayán,Serie de TV,2012,40 episodios
67,ENRIQUE ASENJO,Miel de naranjas,no hay info,2012,no hay info
68,ENRIQUE ASENJO,12+1: Una comedia metafísica,no hay info,2012,no hay info
69,ENRIQUE ASENJO,La pecera de Eva,Serie de TV,2010–2011,9 episodios
70,ENRIQUE ASENJO,Águila Roja,Serie de TV,2011,1 episodio
71,ENRIQUE ASENJO,La que se avecina,Serie de TV,2011,1 episodio
72,ENRIQUE ASENJO,Vida loca,Serie de TV,2011,1 episodio
73,ENRIQUE ASENJO,Impares,Serie de TV,2008–2010,5 episodios
74,ENRIQUE ASENJO,Impares premium,Serie de TV,2010,1 episodio
75,ENRIQUE ASENJO,El grifo,Corto,2010,no hay info
76,ENRIQUE ASENJO,No es lo que parece,Vídeo,2010,no hay info
77,ENRIQUE ASENJO,Aída,Serie de TV,2010,3 episodios
78,ENRIQUE ASENJO,Propios y extraños,no hay info,2010,no hay info
79,ENRIQUE ASENJO,Amar es para siempre,Serie de TV,2009–2010,7 episodios
80,ENRIQUE ASENJO,Acusados,Serie de TV,2010,1 episodio
81,ENRIQUE ASENJO,Bicho malo,Serie de TV,2009,1 episodio
82,ENRIQUE ASENJO,Paquirri,Miniserie de TV,2009,1 episodio
83,ENRIQUE ASENJO,8 citas,no hay info,2008,no hay info
84,ENRIQUE ASENJO,Círculo rojo,Serie de TV,2007,1 episodio
85,ENRIQUE ASENJO,Matrimonio con hijos,Serie de TV,2006,1 episodio
86,ENRIQUE ASENJO,Hospital Central,Serie de TV,2002–2005,3 episodios
87,ENRIQUE ASENJO,Cuéntame cómo pasó,Serie de TV,2002,1 episodio
88,ENRIQUE ASENJO,Viento del pueblo: Miguel Hernández,Miniserie de TV,2002,1 episodio
89,ENRIQUE ASENJO,Agente 700,Serie de TV,2001,1 episodio
90,ENRIQUE ASENJO,Aunque tú no lo sepas,no hay info,2000,no hay info
91,DAFNIS BALDUZ,Los renglones torcidos de Dios,no hay info,2022,no hay info
92,DAFNIS BALDUZ,Incidents,Miniserie de TV,2022,1 episodio
