,actor,ciudad,nombres,representante
0,daniel albaladejo,['Murcia'],,Borial Management
1,daniel albaladejo,[],,Borial Management
2,daniel albaladejo,[],Vicente Fuentes,Borial Management
3,daniel albaladejo,[],Will Keen,Borial Management
4,daniel albaladejo,[],Francisco Torres,Borial Management
5,daniel albaladejo,[],Teatro Contemporáneo,Borial Management
6,daniel albaladejo,[],Norman Taylor,Borial Management
7,daniel albaladejo,[],Expresión Dramática,Borial Management
8,daniel albaladejo,[],Antón Valén,Borial Management
9,enrique asenjo,[],Dramaturgia Teatral,Borial Management
10,enrique asenjo,[],Sanchís Sinisterra,Borial Management
11,enrique asenjo,[],Mariano Barroso,Borial Management
12,enrique asenjo,[],Raquel Pérez,Borial Management
13,enrique asenjo,[],Dramaturgia Teatral,Borial Management
14,enrique asenjo,[],Mauricio Kartún,Borial Management
15,enrique asenjo,[],Dramaturgia Teatral,Borial Management
16,enrique asenjo,[],Eduardo Recabarren,Borial Management
17,enrique asenjo,[],Dramaturgia Teatral,Borial Management
18,enrique asenjo,[],Bernardo Kappa,Borial Management
19,enrique asenjo,[],Adriano Urissevich,Borial Management
20,enrique asenjo,['Rota'],Cristina Rota,Borial Management
21,enrique asenjo,[],,Borial Management
22,jacobo camarena,[],Javier Cifrián,Borial Management
23,jacobo camarena,[],,Borial Management
24,jacobo camarena,[],,Borial Management
25,jacobo camarena,[],Salvador Calvo,Borial Management
26,jacobo camarena,[],Carlos Sedes,Borial Management
27,jacobo camarena,[],Tonucha Vidal,Borial Management
28,jacobo camarena,[],Montxo Armendáriz,Borial Management
29,jacobo camarena,[],Gracia Querejeta,Borial Management
30,jacobo camarena,[],Déborah Borqué,Borial Management
31,jacobo camarena,[],Inma Torrente,Borial Management
32,jacobo camarena,[],Jesús Font,Borial Management
33,jacobo camarena,[],Marga Rodríguez,Borial Management
34,jacobo camarena,[],Andrés Cuenca,Borial Management
35,jacobo camarena,[],Antonio Recio,Borial Management
36,jacobo camarena,[],Paula Cámara,Borial Management
37,pedro carvalho,[],Casting Director,Borial Management
38,pedro carvalho,[],Luci Lenox,Borial Management
39,pedro carvalho,[],Casting Director,Borial Management
40,pedro carvalho,[],Manuel Puro,Borial Management
41,pedro carvalho,['Madrid'],Andrea Mizes,Borial Management
42,pedro carvalho,['Madrid'],Estudio Corazza,Borial Management
43,pedro carvalho,[],,Borial Management
44,pedro carvalho,[],,Borial Management
