,actor,ciudad,nombres,nº formaciones
0,iván-montes,no hay info,Tonucha Vidal,8
0,iván-montes,no hay info,Curso Interpretación,8
0,iván-montes,no hay info,Cristina Alcázar,8
0,iván-montes,no hay info,Artes Escénicas,8
0,iván-montes,no hay info,Curso Interpretación,8
0,iván-montes,no hay info,Cristina Alcázar,8
0,iván-montes,no hay info,Teatro Musical,8
0,iván-montes,no hay info,Baile Moderno,8
0,iván-montes,no hay info,,8
0,iván-montes,no hay info,,8
1,pepe-sevilla,Madrid,Grado Superior,3
1,pepe-sevilla,Madrid,Arte Dramático,3
1,pepe-sevilla,Madrid,Interpretación Textual,3
1,pepe-sevilla,no hay info,Filología Hispánica,3
1,pepe-sevilla,no hay info,,3
2,mateo-rubistein,no hay info,Mar Navarro,11
2,mateo-rubistein,no hay info,Andrés Hernández,11
2,mateo-rubistein,no hay info,Universidad Rey,11
2,mateo-rubistein,no hay info,Juan Carlos,11
2,mateo-rubistein,no hay info,Alberto Rodríguez,11
2,mateo-rubistein,no hay info,Rafael Cobos,11
2,mateo-rubistein,no hay info,Cristina Rota,11
2,mateo-rubistein,no hay info,Benito Zambrano,11
2,mateo-rubistein,no hay info,,11
2,mateo-rubistein,no hay info,,11
2,mateo-rubistein,no hay info,,11
2,mateo-rubistein,no hay info,,11
2,mateo-rubistein,no hay info,,11
2,mateo-rubistein,no hay info,,11
3,víctor-castilla,Málaga,Escuela Superior,8
3,víctor-castilla,Málaga,Arte Dramático,8
3,víctor-castilla,no hay info,,8
3,víctor-castilla,no hay info,,8
3,víctor-castilla,no hay info,,8
3,víctor-castilla,no hay info,,8
3,víctor-castilla,no hay info,,8
3,víctor-castilla,no hay info,,8
3,víctor-castilla,no hay info,,8
4,david-mora,no hay info,Giles Foreman,13
4,david-mora,no hay info,Estudio Corazza,13
4,david-mora,no hay info,Curso Anual,13
4,david-mora,no hay info,Estudio Juan,13
4,david-mora,no hay info,Chules Piñiango,13
4,david-mora,no hay info,Raquel Pérez,13
4,david-mora,no hay info,Estudio Interactivo,13
4,david-mora,no hay info,Raquel Pérez,13
4,david-mora,no hay info,Vicente Fuentes,13
4,david-mora,no hay info,Sara Pérez,13
4,david-mora,no hay info,Laura Toledo,13
4,david-mora,no hay info,Inés Piñole,13
4,david-mora,no hay info,,13
4,david-mora,no hay info,Cambrigde Certificate,13
4,david-mora,no hay info,Advanced English,13
4,david-mora,no hay info,,13
4,david-mora,no hay info,,13
4,david-mora,no hay info,,13
4,david-mora,no hay info,Mejor Actor,13
4,david-mora,no hay info,Los Amigos,13
4,david-mora,no hay info,Euphoria Int,13
4,david-mora,no hay info,Comunicación Audiovisual,13
4,david-mora,no hay info,,13
5,ángel-velasco,Málaga,Escuela Superior,12
5,ángel-velasco,Málaga,Arte Dramático,12
5,ángel-velasco,no hay info,Lorena García,12
5,ángel-velasco,no hay info,Sara Nuñez,12
5,ángel-velasco,no hay info,Luisa Ezquerra,12
5,ángel-velasco,no hay info,Locución Luisa,12
5,ángel-velasco,no hay info,Voz Método,12
5,ángel-velasco,no hay info,Prado Pinilla,12
5,ángel-velasco,no hay info,Charlie Levi,12
5,ángel-velasco,no hay info,Máster Interpretación,12
5,ángel-velasco,no hay info,,12
5,ángel-velasco,no hay info,,12
5,ángel-velasco,no hay info,,12
5,ángel-velasco,no hay info,,12
6,agustin-otón,Murcia,Arte Dramático,19
6,agustin-otón,no hay info,,19
6,agustin-otón,Holstebro,Isabel Úbeda,19
6,agustin-otón,no hay info,,19
6,agustin-otón,no hay info,,19
6,agustin-otón,no hay info,,19
6,agustin-otón,no hay info,Antón Valen,19
6,agustin-otón,no hay info,,19
6,agustin-otón,no hay info,,19
6,agustin-otón,no hay info,,19
6,agustin-otón,no hay info,Educación Musical,19
6,agustin-otón,no hay info,,19
6,agustin-otón,no hay info,,19
6,agustin-otón,no hay info,,19
6,agustin-otón,no hay info,,19
6,agustin-otón,no hay info,,19
6,agustin-otón,no hay info,,19
6,agustin-otón,no hay info,,19
6,agustin-otón,no hay info,,19
7,rubén-de-eguía,no hay info,,8
7,rubén-de-eguía,Temple,,8
7,rubén-de-eguía,no hay info,Jerzy Grotowski,8
7,rubén-de-eguía,no hay info,Juan Carlos,8
7,rubén-de-eguía,no hay info,Claudio Tolcachir,8
7,rubén-de-eguía,no hay info,Teatro Revelación,8
7,rubén-de-eguía,no hay info,La Vida,8
7,rubén-de-eguía,no hay info,Por Delante,8
7,rubén-de-eguía,no hay info,,8
7,rubén-de-eguía,no hay info,,8
7,rubén-de-eguía,no hay info,,8
8,jesús-caba,Rota,Arte Dramático,3
8,jesús-caba,Rota,Cristina Rota,3
8,jesús-caba,Barcelona,Nancy Tuñon,3
8,jesús-caba,no hay info,Joaquín Oristrell,3
9,josé-gabriel-campos,Murcia,Arte Dramático,27
9,josé-gabriel-campos,Murcia,Escuela Superior,27
9,josé-gabriel-campos,Murcia,Arte Dramático,27
9,josé-gabriel-campos,no hay info,Aptitud Pedagógica,27
9,josé-gabriel-campos,no hay info,Universitat Jaume,27
9,josé-gabriel-campos,Compostela,Escuela Internacional,27
9,josé-gabriel-campos,Compostela,Antón Valen,27
9,josé-gabriel-campos,Compostela,Norman Taylor,27
9,josé-gabriel-campos,Compostela,Claudia Contín,27
9,josé-gabriel-campos,Compostela,Ferruccio Merisi,27
9,josé-gabriel-campos,no hay info,Scuola Internazionale,27
9,josé-gabriel-campos,no hay info,Attore Comico,27
9,josé-gabriel-campos,no hay info,Antonio Fava,27
9,josé-gabriel-campos,no hay info,Reggio Emilia,27
9,josé-gabriel-campos,no hay info,Antón Valén,27
9,josé-gabriel-campos,Madrid,Valdimir Olshansky,27
9,josé-gabriel-campos,Madrid,Residui Teatro,27
9,josé-gabriel-campos,no hay info,Estill Voice,27
9,josé-gabriel-campos,no hay info,Hellen Rowson,27
9,josé-gabriel-campos,Murcia,Centro Párraga,27
9,josé-gabriel-campos,no hay info,Stage Internationale,27
9,josé-gabriel-campos,no hay info,Antonio Fava,27
9,josé-gabriel-campos,no hay info,Reggio Emilia,27
9,josé-gabriel-campos,Valencia,Carles Castillo,27
9,josé-gabriel-campos,Murcia,Matej Matejka,27
9,josé-gabriel-campos,Murcia,Gema Galiana,27
9,josé-gabriel-campos,no hay info,Instytut Grotowskiego,27
9,josé-gabriel-campos,no hay info,,27
9,josé-gabriel-campos,no hay info,Técnica Gestual,27
9,josé-gabriel-campos,no hay info,Scuola Internazionale,27
9,josé-gabriel-campos,no hay info,Attore Comico,27
9,josé-gabriel-campos,no hay info,Antonio Fava,27
9,josé-gabriel-campos,no hay info,Reggio Emilia,27
9,josé-gabriel-campos,Murcia,Stage Internazionale,27
9,josé-gabriel-campos,Murcia,Reggio Emilia,27
9,josé-gabriel-campos,Murcia,Collectif Au,27
9,josé-gabriel-campos,Murcia,Kreativhaus Berlin,27
9,josé-gabriel-campos,Murcia,Porto Iracema,27
