,artista,medio,programa,produccion/director
0,javier-lorenzo,television,“CUÉNTAME  CÓMO  PASÓ” , (Oriol). Tve1. 2011-2021
1,javier-lorenzo,cine,“EL AVISO” , Dir. Daniel Calparsoro. 2018
2,javier-lorenzo,cine,”LIFE VEST UNDER YOUR SEAT” (Volamos hace Miami) , Cortometraje - Dir. Maria Giraldez y Miguel Provencio. *Seleccionado “Mejor corto de ficción en los Premios Goya 2014”
3,carlos-scholz,television,"""SIN LIMITES"" ", Amazon Prime Videos.
4,carlos-scholz,television,"""FERIA: LA LUZ MÁS OSCURA"" ", Filmax. Netflix
5,carlos-scholz,television,"""DESCONOCIDAS"" ", (Pablo). Dir. Peris Romano. Canal Sur
6,carlos-scholz,television,"""JODIDÍSIMAS"" ", María Dueñas. Audible - Amazon.
7,carlos-scholz,television,"""TOY BOY""", Antena3. Netflix.
8,carlos-scholz,cine,“AWARENESS” , Daniel Benmayor - AmazonPrime - (protagonista) - 2023.
9,carlos-scholz,cine,”MI OTRO JON” , Pago Arango - 2023.
10,carlos-scholz,cine,"""LA MANIOBRA DE LA TORTUGA"" ", Juan Miguel de Castillo - 2022.
11,carlos-scholz,teatro,"""ROMEO Y JULIETA""", Dir. Patateatro
12,carlos-scholz,teatro,"""COPLAS DE PABLO RUÍZ PICASSO""", Dir: Ángel Baena
13,carlos-scholz,teatro,"""CHICAGO, EL MUSICAL""", Dir: Celia Dolci
14,carlos-scholz,teatro,"""LA CASA HABITADA""", Dir. Ángel Baena
15,iván-montes,television,“El Otro Lado” , El Terrat - Movistar+ - 2023
16,iván-montes,television,"""YRREAL""", Moa Studios - Dir. Alberto Utrera - Playz.
17,iván-montes,television,"""EL SECRETO DE PUENTE VIEJO""", (personaje: Matías) - Antena 3.
18,iván-montes,cine,“ETROMA” , Corto - (personaje: Javier) - Dir. Jorge del Álamo. 2022
19,iván-montes,cine,”13 SEGUNDOS ANTES DEL AÑO NUEVO” , Corto - Dir. José Luis Grifol. 2022
20,iván-montes,cine,”EL BANCO” , Corto - (personaje: Rodri) - Dir. José Luis Grifol. 2022
21,iván-montes,cine,"""NO CULPES AL KARMA DE LO QUE TE PASA POR GILIPOLLAS""", Largometraje - Dir. María Ripoll
22,iván-montes,teatro,B,a
23,iván-montes,teatro, , 
24,iván-montes,teatro,," Skate, Baile moderno, DJ."
25,iván-montes,formacion,C,u
26,iván-montes,formacion,C,u
27,iván-montes,formacion,B,a
28,iván-montes,formacion,C,u
29,pepe-sevilla,television,A,M
30,pepe-sevilla,cine,S,I
31,pepe-sevilla,cine,M,A
32,pepe-sevilla,cine,C,R
33,pepe-sevilla,cine,E,L
34,pepe-sevilla,cine,D,o
35,pepe-sevilla,teatro,"""El cuaderno de Pitágoras"" ",  Dir. Carolina Africa. Personaje Luis Miguel. CDN 2022
36,pepe-sevilla,teatro,"""Fiesta de farsantes"" "," Versión de José Luis Alonso de Santos sobre Pasos de Lope de Rueda y dirección de Daniel Alonso. Personajes “Alguacil”, Sanguijuela” y “Tomillo”. Coliseo"
37,pepe-sevilla,teatro,"""Cuadros de amor y humor al fresco"" ",  escrita y dirigida por José Luis Alonso de Santos (Olvido Producciones SL). Personaje “El Niño”. 
38,pepe-sevilla,teatro,"""Diez euros la copa"" "," Obra en cuatro comidas y un epílogo, escrita y dirigida por José Luis Alonso de Santos (Olvido Producciones SL). Personaje “El Niño”. "
39,pepe-sevilla,teatro,"""Redención para Pármeno"" ", Alberto Gálvez. Dirección Roberto del Castar. Personaje “Pármeno”. 
40,pepe-sevilla,teatro,"""23 Rojo"" ",  Texto y dirección Mattis Gabriel de la Fuente. Dirección artística Cristina Marín Miró. Personaje “Orellana”. 
41,pepe-sevilla,teatro,"""Descomposición escénica (En varios cuadros y alguna viñeta"") ", Escrita y dirigida por A. Pérez Portillo. Producida por CNCC Compañía Nacional de Comedias Cómicas. 
42,pepe-sevilla,formacion,T,í
43,pepe-sevilla,formacion,1,º
44,pepe-sevilla,formacion,I,n
45,mateo-rubistein,television,“LOS PACIENTES DEL DOCTOR GARCÍA” , RTVE y  Diagonal tv.
46,mateo-rubistein,television,“HERIDAS”. , Antena 3.
47,mateo-rubistein,television,"""TODO POR EL JUEGO""", Movistar+
48,mateo-rubistein,television,"""CENTRO MÉDICO""", TVE
49,mateo-rubistein,television,"""EL GRAN QUEO""", Canal Sur
50,mateo-rubistein,television,"""LOS MISTERIOS DE LAURA"""," TVE, Amazon Prime"
51,mateo-rubistein,television,"""ÁGUILA ROJA"""," TVE, Amazon Prime"
52,mateo-rubistein,television,"""EL HIJO""", Filmin
53,mateo-rubistein,television,"""18.0""", Webserie. Dir. Julio Vera
54,mateo-rubistein,teatro,"""VIDAS ENTERRADAS""", Dir: Mariano Llorente
55,mateo-rubistein,teatro,"""BARRO""",  Dir: Jose Luis Arellano
56,mateo-rubistein,teatro,"""LA FUNDACIÓN""", Dir: Jose Luis Arellano
57,mateo-rubistein,teatro,"""DESGANA NACIONAL""", Proyecto Una Mirada Diferente
58,mateo-rubistein,teatro,"""CUATRO CORAZONES CON FRENO Y MARCHA ATRÁS""", Dir: Gabriel Olivares
59,mateo-rubistein,teatro,"""HANSEL Y GRETEL""", Dir: Silvia Galera
60,mateo-rubistein,teatro,"""ACTION! UN VOYAGE À TRAVERS LES SIÈCLES""", Cía Clic-Olé 
